tcp_stream,mss_negotiated,ch_tcp_bytes,sh_tcp_bytes,ch_packets,sh_packets,handshake_duration_ms,crypto_cost_ratio_sh_over_ch,has_ch,has_sh,has_end_heuristic,handshake_complete
93,1460,1383,3572,1,1,11496.235,2.582791,1,1,1,1
94,1460,1383,3572,1,1,11645.391,2.582791,1,1,1,1
95,1460,1383,3572,1,1,11708.828,2.582791,1,1,1,1
96,1460,1383,3572,1,1,11761.753,2.582791,1,1,1,1
97,1460,1383,3572,1,1,11773.662,2.582791,1,1,1,1
98,1460,1383,3572,1,1,11848.509,2.582791,1,1,1,1
99,1460,1383,3572,1,1,11976.842,2.582791,1,1,1,1
100,1460,1383,3572,1,1,12021.543,2.582791,1,1,1,1
101,1460,1383,3572,1,1,12057.653,2.582791,1,1,1,1
102,1460,1383,3572,1,1,12091.255,2.582791,1,1,1,1
103,1460,1383,3572,1,1,11582.261,2.582791,1,1,1,1
104,1460,1383,3572,1,1,12171.475,2.582791,1,1,1,1
105,1460,1383,3572,1,1,12203.808,2.582791,1,1,1,1
106,1460,1383,3572,1,1,12478.651,2.582791,1,1,1,1
107,1460,1383,3572,1,1,12527.241,2.582791,1,1,1,1
108,1460,1383,3572,1,1,12549.250,2.582791,1,1,1,1
109,1460,1383,3572,1,1,12519.552,2.582791,1,1,1,1
110,1460,1383,3572,1,1,12606.618,2.582791,1,1,1,1
111,1460,1383,3572,1,1,12755.890,2.582791,1,1,1,1
112,1460,1383,3572,1,1,12804.899,2.582791,1,1,1,1
113,1460,1383,3572,1,1,12834.236,2.582791,1,1,1,1
114,1460,1383,3572,1,1,13003.071,2.582791,1,1,1,1
115,1460,1383,3572,1,1,13045.423,2.582791,1,1,1,1
116,1460,1383,3572,1,1,13169.778,2.582791,1,1,1,1
117,1460,1383,3572,1,1,13264.873,2.582791,1,1,1,1
118,1460,1383,3572,1,1,13456.872,2.582791,1,1,1,1
119,1460,1383,3572,1,1,13516.902,2.582791,1,1,1,1
120,1460,1383,3572,1,1,13621.816,2.582791,1,1,1,1
121,1460,1383,3572,1,1,13635.907,2.582791,1,1,1,1
122,1460,1383,3572,1,1,13687.458,2.582791,1,1,1,1
123,1460,1383,3572,1,1,13726.383,2.582791,1,1,1,1
124,1460,1383,3572,1,1,13763.670,2.582791,1,1,1,1
125,1460,1383,3572,1,1,13790.873,2.582791,1,1,1,1
126,1460,1383,3572,1,1,13842.084,2.582791,1,1,1,1
127,1460,1383,3572,1,1,13958.702,2.582791,1,1,1,1
128,1460,1383,3572,1,1,14061.662,2.582791,1,1,1,1
129,1460,1383,3572,1,1,14141.097,2.582791,1,1,1,1
130,1460,1383,3572,1,1,14204.323,2.582791,1,1,1,1
131,1460,1383,3572,1,1,14248.263,2.582791,1,1,1,1
132,1460,1383,3572,1,1,14443.110,2.582791,1,1,1,1
133,1460,1383,3572,1,1,14467.405,2.582791,1,1,1,1
134,1460,1383,3572,1,1,14505.709,2.582791,1,1,1,1
135,1460,1383,3572,1,1,14545.511,2.582791,1,1,1,1
136,1460,1383,3572,1,1,14635.721,2.582791,1,1,1,1
137,1460,1383,3572,1,1,14770.931,2.582791,1,1,1,1
138,1460,1383,3572,1,1,14778.616,2.582791,1,1,1,1
139,1460,1383,3572,1,1,14817.834,2.582791,1,1,1,1
140,1460,1383,3572,1,1,14858.530,2.582791,1,1,1,1
141,1460,1383,3572,1,1,14985.945,2.582791,1,1,1,1
142,1460,1383,3572,1,1,14731.838,2.582791,1,1,1,1
143,1460,1383,3572,1,1,15108.369,2.582791,1,1,1,1
144,1460,1383,3572,1,1,15239.141,2.582791,1,1,1,1
145,1460,1383,3572,1,1,15435.552,2.582791,1,1,1,1
146,1460,1383,3572,1,1,15328.314,2.582791,1,1,1,1
147,1460,1383,3572,1,1,15748.109,2.582791,1,1,1,1
148,1460,1383,3572,1,1,15802.445,2.582791,1,1,1,1
149,1460,1383,3572,1,1,12445.213,2.582791,1,1,1,1
150,1460,1383,3572,1,1,15851.203,2.582791,1,1,1,1
